Scientific Name,Habitat Comments
Sorex dispar,"Habitats include pine and wiregrass flatwoods, pine-palmetto flatwoods, longleaf pine-turkey oak hills, rosemary scrub, mesophytic and coastal maritime hammocks, xeric hammocks, barrier islands and coastal scrub habitats, vicinity of wet savannas, wet prairies (during dry periods), dry prairie, mixed pine-hardwood successional woodland, and abandoned farms and fields (especially near pine-dominated habitats), particularly areas with abundant cover (Mount 1975, Dundee and Rossman 1989, Palmer and Braswell 1995, Tennant 1997, Ernst and Ernst 2003, Campbell and Lamar 2004, Means 2017). Large tracts of habitat are most suitable. Eastern diamondbacks are basically terrestrial and rarely climb into vegetation. Shelters include stump holes, burrows of other animals, brush piles, or similar sites. Stumpholes in shortleaf/loblolly pine oldfield successional forest are utilized more frequently than burrows of the gopher tortoise (Means 2017). Eastern diamondbacks can tolerate temporary inundation of their overwintering burrows (Means 1982, 2017). According to Ernst (1992), most young are born in retreats such as gopher tortoise burrows or hollow logs."
Sorex fumeus,"In the Northeast, this species inhabits mountainous or hilly deciduous or mixed deciduous-coniferous forest, often with rocky outcroppings, steep ledges, and rock slides (Petersen and Fritsch 1986, Brown 1993). In the upper Midwest, this snake occurs on steep rocky bluffs and bluff prairies with oaks (Breckenridge 1944, Oldfield and Keyler 1989, Vogt 1981). In the central midwest, optimum habitat is a high, dry ridge with oak-hickory forest interspersed with open areas (Minton 1972), and ""deciduous forest, especially along hilltop rock outcrops in thick woods"" (Fitch 1958). In the South, preferred habitat is ""hardwood forests of the type found in Loess Bluff and in many river bottoms"" (Cook 1943), swampy areas and floodplains (Mount 1975), wet pine flatwoods, river bottoms and hydric hammocks (Ashton and Ashton 1981), and hardwood forests and cane fields of alluvial plain and hill country (Dundee and Rossman 1989). Fogell et al. (2002) documented a relatively high level of agricultural field use at the western edge of the range in Nebraska. Activity is primarily terrestrial, but timber rattlesnakes sometimes climb into vegetation (see Fogell et al. (2002).<br><br>Hibernacula are typically located in a rocky area where underground crevices provide retreats for overwintering, such as a fissure in a ledge, a crevice between ledge and ground, talus (rock slide) below a cliff, open skree slope (fallen rocks not associated with a cliff), or fallen rock (talus or skree) partly covered by soil (Martin 1989). At least in the northeastern part of the range (Reinert 1984, Reinert and Zappalorti 1988, Hammerson and Lemieux 2001), males and nongravid females are primarily forest dwellers and gravid females use open, sparsely forested sites. Similarly, in Wisconsin Keenlyne (1972) reported gravid females using flat slab rocks and grassy, open slopes. This open habitat was not used by males or nongravid females. ""Transient habitat"" a somewhat arbitrary category, generally is within 200 m of a den. It tends to be broken by the rough topography and rocky terrain near the den site and supports more open woodland with exposed clearings and shelter rocks. This habitat occurs on outcrop knolls (Brown 1989) used as ""stop-over"" basking locations by rattlesnakes migrating away from a den in spring. This habitat also is used by gravid females during their reproductive year."
Sorex hoyi,"This snake occurs in forests, woodlands, grassland, chaparral, and riparian corridors in arid regions (Stebbins 2003). Habitats are moist, at least seasonally. One or multiple individuals often are found near abandoned buildings and in junk piles in wooded areas. During daylight hours, this snake generally hides underground, in or under logs, or under rocks, stumps or other surface cover. Eggs are laid (often communally) underground or under logs or rocks."
Sorex longirostris,"Habitat includes sandhill regions dominated by mature longleaf pines, turkey oaks, and wiregrass; flatwoods; most types of hammocks; coastal scrub; dry glades; palmetto flats; prairie; brushy riparian and canal corridors; and wet fields (Matthews and Moseley 1990, Tennant 1997, Ernst and Ernst 2003). Occupied sites are often near wetlands and frequently are in association with gopher tortoise burrows.  Pineland habitat is maintained by periodic fires. Viable populations of this species require relatively large tracts of suitable habitat. Refuges include tortoise burrows, stump holes, land crab burrows, armadillo burrows, or similar sites. Eggs may be laid in gopher (<i>Geomys</i>) burrows (Ashton and Ashton 1981). See USFWS (1998) for further information."
Spilogale putorius,"Habitat includes marshes, swampy weedy lake margins, wetlands along the edges of large rivers, oxbow lakes, beaver ponds, slow mud-bottomed streams, shallow sloughs with rotting logs, floodplains, drainage ditches, and brackish tidal areas (Dundee and Rossman 1989, Werler and Dixon 2000, Ernst and Ernst 2003, Trauth et al. 2004). This fossorial, semiaquatic snake burrows in soft soil and among wet debris and mats of vegetation along the water's edge. Eggs are laid in earthen cavity, sometimes in alligator nests (Copeia 1993:219-222). In South Carolina, juveniles entered aquatic habitats in spring (mainly) or in fall (Semlitsch et al. 1988)."
Stenella frontalis,"This snake lives primarily in or near rivers, creeks, swamps, springs, open marshes, including brackish tidal areas; it burrows into soil, wet debris, and mats of vegetation along the water's edge, and it may shelter among cypress roots, logs, stone piles, or dock pillings; in some areas hibernation occurs in uplands near water (Mount 1975, Dundee and Rossman 1989, Palmer and Braswell 1995, Ernst and Ernst 2003). In South Carolina, hatchlings presumably overwintered on land in the vicinity of the nest; in March and April they moved overland to an aquatic site where they remained if conditions remained suitable; they moved to a neighboring aquatic area if the site became unsuitable (Gibbons et al. 1977). Eggs are laid in a cavity in sandy soil."
Steno bredanensis,"Habitats include rocky hillsides of dry open woods, limestone and sandstone cedar glades, woodland edge, mesic woodland and grassland, pastures, thickly wooded bottomlands, dry and mesic hammocks, pine flatwoods, wooded margins of streams in arid landscapes, swamp borders, gardens, and (often) vacant lots or woodlots in urban areas; this secretive semifossorial snake is usually in areas with moisture, ground cover, and some exposure to sunlight; often is found in rotting stumps or under rocks, logs, trash, loose bark, or other cover (Mitchell 1994, Palmer and Braswell 1995, Ernst and Ernst 2003, Trauth et al. 2004)."
Sus scrofa,"In New World, usually on or in occupied buildings, on walls and ceilings (in old cemetery in Key West); also under palm leaves, tree bark crevices, and rocky outcrops. <br><br>Nest sites include dirt piles, beneath boards, rotten tree stumps, rock crevices, trash piles, and building eaves."
Sylvilagus aquaticus,"Habitats include openly wooded upland hills, forest edges, fields, woodland meadows, prairies, forest-grassland ecotones, sand plains, barrier islands, fire-managed pinelands, river valleys, riparian zones, and various other habitats with loose soils and amphibian prey. This snake crawls on the surface and burrows into soil. It overwinters in burrows (made by mammal or self-dug) or under rocks of talus slopes. Eggs are laid in nests a few inches below the ground surface (Platt 1969) or in rotting wood (DeGraaf and Rudis 1983)."
Sylvilagus floridanus,"This snake inhabits open, xeric habitats with well-drained, sandy or sandy-loam soils such as sand ridges, stabilized coastal sand dunes, pine flatwoods, mixed oak-pine woodlands and forests, scrub oak woods, and oak hammocks; also old fields and river floodplains (Ashton and Ashton 1981, Palmer and Braswell 1995, Tennant 1997, Ernst and Ernst 2003). This snake spends considerable time burrowed in the soil."
Sylvilagus obscurus,"Habitats include pine flatwoods and wet prairie hammocks; less frequently bottomland, mixed hardwood, and upland pine forest, sandhills, and maritime hammock; rare in extensive grassy wetlands (except ""limestone-lined banks of sugar cane irrigation fields"") (Tennant 1997). Stumps and logs are commonly used as cover."
